id,franquia,is_franchise,estudio_principal,original_language,production_countries,status
954,Mission: Impossible Collection,True,Paramount Pictures,en,United States of America,Released
8840,DragonHeart Collection,True,Universal Pictures,en,United States of America,Released
10539,,False,Allied Filmmakers,en,United States of America,Released
47502,,False,New Line Cinema,en,United States of America,Released
2300,Space Jam Collection,True,Warner Bros. Family Entertainment,en,United States of America,Released
8069,,False,Paramount Pictures,en,"France, Italy",Released
40001,,False,TriStar Pictures,en,United States of America,Released
9103,,False,Universal Pictures,en,"Canada, United States of America",Released
12233,,False,Walt Disney Pictures,en,United States of America,Released
36355,,False,The Bubble Factory,en,United States of America,Released
11876,,False,Hachette Première,fr,France,Released
9100,The Craft Collection,True,Columbia Pictures,en,United States of America,Released
40507,,False,Po' Boy Productions,en,United States of America,Released
9802,,False,Don Simpson/Jerry Bruckheimer Films,en,United States of America,Released
664,Twister Collection,True,Warner Bros. Pictures,en,United States of America,Released
10547,The Arrival Collection,True,Live Entertainment,en,"Mexico, United States of America",Released
935,,False,Hawk Films,en,"United Kingdom, United States of America",Released
9826,,False,Paramount Pictures,en,"United States of America, Australia, Thailand",Released
9879,,False,Castle Rock Entertainment,en,United States of America,Released
7095,,False,Hollywood Pictures,en,United States of America,Released
627,Trainspotting Collection,True,Figment Films,en,United Kingdom,Released
602,Independence Day Collection,True,20th Century Fox,en,United States of America,Released
9566,,False,TriStar Pictures,en,"United Kingdom, United States of America",Released
10545,The Hunchback of Notre Dame Collection,True,Walt Disney Pictures,en,United States of America,Released
9894,,False,Columbia Pictures,en,United States of America,Released
11543,,False,Motion Picture Corporation of America,en,United States of America,Released
9268,Eraser Collection,True,Kopelson Entertainment,en,"Canada, United States of America",Released
9327,The Nutty Professor Collection,True,Universal Pictures,en,United States of America,Released
11228,,False,Davis Entertainment,en,United States of America,Released
10779,,False,WingNut Films,en,"New Zealand, United States of America",Released
26748,,False,Castle Rock Entertainment,en,United States of America,Released
9294,,False,Touchstone Pictures,en,United States of America,Released
11363,,False,Fox Searchlight Pictures,en,United States of America,Released
